"jurisdiction","year","mean_tax"
"Estonia",1989,NA
"Estonia",1990,NA
"Estonia",1991,NA
"Estonia",1992,NA
"Estonia",1993,NA
"Estonia",1994,NA
"Estonia",1995,NA
"Estonia",1996,NA
"Estonia",1997,NA
"Estonia",1998,NA
"Estonia",1999,NA
"Estonia",2000,0.32
"Estonia",2001,0.32
"Estonia",2002,0.32
"Estonia",2003,0.32
"Estonia",2004,0.32
"Estonia",2005,0.72
"Estonia",2006,1
"Estonia",2007,1
"Estonia",2008,1.5
"Estonia",2009,2
"Estonia",2010,2
"Estonia",2011,2
"Estonia",2012,2
"Estonia",2013,2
"Estonia",2014,2
"Estonia",2015,2
"Estonia",2016,2
"Estonia",2017,2
"Estonia",2018,2
"Estonia",2019,2
"Estonia",2020,2
"Estonia",2021,2
"Estonia",2022,2
"Finland",1989,NA
"Finland",1990,1.2
"Finland",1991,1.2
"Finland",1992,1.2
"Finland",1993,2.4
"Finland",1994,3.380637014
"Finland",1995,4.83095885933333
"Finland",1996,4.83095885933333
"Finland",1997,8.835798081
"Finland",1998,11.236243724
"Finland",1999,12.8392663706667
"Finland",2000,12.8392663706667
"Finland",2001,12.8392663706667
"Finland",2002,12.8392663706667
"Finland",2003,13.5764996336667
"Finland",2004,13.5764996336667
"Finland",2005,13.5764996336667
"Finland",2006,13.5764996336667
"Finland",2007,13.5764996336667
"Finland",2008,15.27150883
"Finland",2009,15.27150883
"Finland",2010,15.27150883
"Finland",2011,25.00935933
"Finland",2012,36.6760259966667
"Finland",2013,39.84404051
"Finland",2014,42.85515162
"Finland",2015,48.5545318633333
"Finland",2016,54.8905608866667
"Finland",2017,58.8552599533333
"Finland",2018,61.4031273366667
"Finland",2019,62.2695899333333
"Finland",2020,62.2695899333333
"Finland",2021,62.2695899333333
"Finland",2022,NA
"France",1989,NA
"France",1990,NA
"France",1991,NA
"France",1992,NA
"France",1993,NA
"France",1994,NA
"France",1995,NA
"France",1996,NA
"France",1997,NA
"France",1998,NA
"France",1999,NA
"France",2000,NA
"France",2001,NA
"France",2002,NA
"France",2003,NA
"France",2004,NA
"France",2005,NA
"France",2006,NA
"France",2007,NA
"France",2008,NA
"France",2009,NA
"France",2010,NA
"France",2011,NA
"France",2012,NA
"France",2013,NA
"France",2014,7
"France",2015,14.5
"France",2016,22
"France",2017,30.5
"France",2018,44.6
"France",2019,44.6
"France",2020,44.6
"France",2021,44.6
"France",2022,44.6
"Latvia",1989,NA
"Latvia",1990,NA
"Latvia",1991,NA
"Latvia",1992,NA
"Latvia",1993,NA
"Latvia",1994,NA
"Latvia",1995,NA
"Latvia",1996,NA
"Latvia",1997,NA
"Latvia",1998,NA
"Latvia",1999,NA
"Latvia",2000,NA
"Latvia",2001,NA
"Latvia",2002,NA
"Latvia",2003,NA
"Latvia",2004,NA
"Latvia",2005,NA
"Latvia",2006,0.14
"Latvia",2007,0.14
"Latvia",2008,0.28
"Latvia",2009,0.42
"Latvia",2010,0.64
"Latvia",2011,1.1
"Latvia",2012,1.89
"Latvia",2013,2.85
"Latvia",2014,2.85
"Latvia",2015,2.85
"Latvia",2016,3.5
"Latvia",2017,4.5
"Latvia",2018,4.5
"Latvia",2019,4.5
"Latvia",2020,9
"Latvia",2021,12
"Latvia",2022,15
"Norway",1989,NA
"Norway",1990,NA
"Norway",1991,37.5
"Norway",1992,48.1927710843373
"Norway",1993,47.6190476190476
"Norway",1994,50
"Norway",1995,51.2345679012346
"Norway",1996,53.125
"Norway",1997,53.0487804878049
"Norway",1998,52.9761904761905
"Norway",1999,54.1176470588235
"Norway",2000,54.6511627906977
"Norway",2001,42.3529411764706
"Norway",2002,43.4523809523809
"Norway",2003,45.1807228915663
"Norway",2004,46.3414634146341
"Norway",2005,48.75
"Norway",2006,48.7654320987654
"Norway",2007,24.390243902439
"Norway",2008,24.6987951807229
"Norway",2009,25
"Norway",2010,25.2941176470588
"Norway",2011,38.3720930232558
"Norway",2012,40.8536585365854
"Norway",2013,42.8125
"Norway",2014,48.4756097560976
"Norway",2015,51.0542168674699
"Norway",2016,53.2352941176471
"Norway",2017,56.3953488372093
"Norway",2018,65.0602409638554
"Norway",2019,67.0731707317073
"Norway",2020,69.7530864197531
"Norway",2021,72.962962962963
"Norway",2022,94.5679012345679
"Poland",1989,NA
"Poland",1990,NA
"Poland",1991,NA
"Poland",1992,NA
"Poland",1993,0.0238095238095238
"Poland",1994,0.0232558139534884
"Poland",1995,0.0227272727272727
"Poland",1996,0.0288888888888889
"Poland",1997,0.0326086956521739
"Poland",1998,0.0319148936170213
"Poland",1999,0.0354166666666667
"Poland",2000,0.036734693877551
"Poland",2001,0.0395833333333333
"Poland",2002,0.0425531914893617
"Poland",2003,0.0434782608695652
"Poland",2004,0.0444444444444444
"Poland",2005,0.05
"Poland",2006,0.0534883720930233
"Poland",2007,0.0547619047619048
"Poland",2008,0.0560975609756098
"Poland",2009,0.0558139534883721
"Poland",2010,0.0545454545454545
"Poland",2011,0.0571428571428571
"Poland",2012,0.0585365853658537
"Poland",2013,0.06
"Poland",2014,0.06
"Poland",2015,0.0585365853658537
"Poland",2016,0.0674418604651163
"Poland",2017,0.0674418604651163
"Poland",2018,0.0674418604651163
"Poland",2019,0.0674418604651163
"Poland",2020,0.0666666666666667
"Poland",2021,0.0673913043478261
"Poland",2022,0.0695652173913043
"Portugal",1989,NA
"Portugal",1990,NA
"Portugal",1991,NA
"Portugal",1992,NA
"Portugal",1993,NA
"Portugal",1994,NA
"Portugal",1995,NA
"Portugal",1996,NA
"Portugal",1997,NA
"Portugal",1998,NA
"Portugal",1999,NA
"Portugal",2000,NA
"Portugal",2001,NA
"Portugal",2002,NA
"Portugal",2003,NA
"Portugal",2004,NA
"Portugal",2005,NA
"Portugal",2006,NA
"Portugal",2007,NA
"Portugal",2008,NA
"Portugal",2009,NA
"Portugal",2010,NA
"Portugal",2011,NA
"Portugal",2012,NA
"Portugal",2013,NA
"Portugal",2014,NA
"Portugal",2015,5
"Portugal",2016,6.9
"Portugal",2017,6.9
"Portugal",2018,5.796
"Portugal",2019,12.1885
"Portugal",2020,22.8317
"Portugal",2021,23.619
"Portugal",2022,24
"Sweden",1989,NA
"Sweden",1990,NA
"Sweden",1991,14.2361111111111
"Sweden",1992,14.3960674157303
"Sweden",1993,18.6363636363636
"Sweden",1994,20.0287356321839
"Sweden",1995,20.2616279069767
"Sweden",1996,22.3088235294118
"Sweden",1997,29.7321428571429
"Sweden",1998,30.0903614457831
"Sweden",1999,30.4573170731707
"Sweden",2000,31.2962962962963
"Sweden",2001,36.4120720085
"Sweden",2002,40.6063291139241
"Sweden",2003,46.3376532900641
"Sweden",2004,52.0877090313462
"Sweden",2005,52.9976425743117
"Sweden",2006,53.9788300935789
"Sweden",2007,55.5374826074
"Sweden",2008,55.6343478356757
"Sweden",2009,58.8240500054794
"Sweden",2010,58.14
"Sweden",2011,126.68478264
"Sweden",2012,128.446939302632
"Sweden",2013,129.87
"Sweden",2014,129.67695648
"Sweden",2015,136.956521797297
"Sweden",2016,138.237641506849
"Sweden",2017,141.615489125
"Sweden",2018,146.057103507042
"Sweden",2019,151.194409971429
"Sweden",2020,151.715860352113
"Sweden",2021,150.664402125
"Sweden",2022,167.260273972603
"Switzerland",1989,NA
"Switzerland",1990,NA
"Switzerland",1991,NA
"Switzerland",1992,NA
"Switzerland",1993,NA
"Switzerland",1994,NA
"Switzerland",1995,NA
"Switzerland",1996,NA
"Switzerland",1997,NA
"Switzerland",1998,NA
"Switzerland",1999,NA
"Switzerland",2000,NA
"Switzerland",2001,NA
"Switzerland",2002,NA
"Switzerland",2003,NA
"Switzerland",2004,NA
"Switzerland",2005,NA
"Switzerland",2006,NA
"Switzerland",2007,NA
"Switzerland",2008,21
"Switzerland",2009,20.76
"Switzerland",2010,63
"Switzerland",2011,44.28
"Switzerland",2012,43.2
"Switzerland",2013,44.28
"Switzerland",2014,73.2
"Switzerland",2015,64.2
"Switzerland",2016,90.72
"Switzerland",2017,90.72
"Switzerland",2018,110.4
"Switzerland",2019,106.56
"Switzerland",2020,103.68
"Switzerland",2021,103.68
"Switzerland",2022,123.6
